ProductID,AvgDailyDemand,StdDailyDemand,AvgWeeklyDemand,AvgMonthlyDemand,CV,Trend,ProductName,DemandClass
P1000,4.872262773722627,3.4069126400657024,34.105839416058394,146.16788321167883,0.6992464894217247,-1.0691434468524241,ELE-AUD-1000,Slow-moving
P1001,11.047445255474452,8.822727674924707,77.33211678832116,331.42335766423355,0.798621533838576,-4.617131062951494,ELE-MOB-1001,Slow-moving
P1002,4.835766423357664,3.3067486746442887,33.85036496350365,145.0729927007299,0.683810669322668,-1.2569659442724443,ELE-WEA-1002,Slow-moving
P1003,11.671532846715328,9.235579788315482,81.7007299270073,350.1459854014598,0.7912910762971989,-2.7533539731682097,ELE-AUD-1003,Fast-moving
P1004,10.956204379562044,7.897301150218249,76.69343065693431,328.6861313868613,0.7208063008526983,-5.678018575851383,ELE-MOB-1004,Slow-moving
P1005,29.733576642335766,21.79810560634098,208.13503649635035,892.007299270073,0.7331141446099704,-12.130030959752297,ELE-WEA-1005,Fast-moving
P1006,4.885036496350365,3.582344809114493,34.19525547445255,146.55109489051094,0.7333302037335608,-0.4447884416924642,ELE-AUD-1006,Slow-moving
P1007,11.069343065693431,8.472923317802824,77.48540145985402,332.08029197080293,0.7654404843646467,-4.257997936016506,ELE-MOB-1007,Slow-moving
P1008,4.9489051094890515,3.4239102652801052,34.64233576642336,148.46715328467155,0.6918520742527645,-0.7554179566563438,ELE-WEA-1008,Slow-moving
P1009,30.866788321167885,22.302280793809697,216.0675182481752,926.0036496350366,0.7225332471183986,-4.2610939112486985,ELE-AUD-1009,Fast-moving
P1010,11.965328467153284,10.088487949430583,83.75729927007299,358.95985401459853,0.8431434186804879,-5.303405572755419,HOM-COO-1010,Fast-moving
P1011,10.799270072992702,7.4855033216287845,75.59489051094891,323.97810218978105,0.6931490064637671,-1.657378740970061,HOM-STO-1011,Slow-moving
P1012,30.251824817518248,22.850729676650605,211.76277372262774,907.5547445255474,0.7553504561952306,-6.02063983488131,HOM-SMA-1012,Fast-moving
P1013,10.89051094890511,8.74976423364104,76.23357664233578,326.7153284671533,0.8034300938396933,-4.288957688338485,HOM-COO-1013,Slow-moving
P1014,11.569343065693431,8.594710009805889,80.98540145985402,347.08029197080293,0.7428866065258086,-4.074303405572755,HOM-STO-1014,Fast-moving
P1015,4.9178832116788325,3.3870666866087578,34.425182481751825,147.53649635036498,0.6887245062195173,-2.366357069143451,HOM-SMA-1015,Slow-moving
P1016,11.437956204379562,8.78869251412107,80.06569343065694,343.13868613138686,0.7683796263143501,-2.9783281733746056,HOM-COO-1016,Medium-moving
P1017,30.72992700729927,22.306245966890753,215.1094890510949,921.8978102189781,0.7258802131743547,-5.52321981424147,HOM-STO-1017,Fast-moving
P1018,11.171532846715328,8.954473100373784,78.2007299270073,335.1459854014598,0.8015438188508386,-4.542827657378744,HOM-SMA-1018,Medium-moving
P1019,11.177007299270073,8.686688453746413,78.23905109489051,335.31021897810217,0.7771926975760056,-2.401444788441692,HOM-COO-1019,Medium-moving
P1020,11.045620437956204,8.371390677854157,77.31934306569343,331.3686131386861,0.7578922999279825,-1.8297213622290958,FAS-MEN-1020,Slow-moving
P1021,4.649635036496351,3.2418453247652885,32.54744525547446,139.48905109489053,0.6972257605853132,-0.7636738906088731,FAS-WOM-1021,Slow-moving
P1022,11.436131386861314,8.478035347952602,80.0529197080292,343.0839416058394,0.7413377007624103,-3.747162022703809,FAS-FOO-1022,Medium-moving
P1023,11.096715328467154,8.664778151578473,77.67700729927007,332.9014598540146,0.7808417081179087,-1.9246646026831633,FAS-MEN-1023,Medium-moving
P1024,4.773722627737226,3.5428795665541313,33.41605839416058,143.21167883211677,0.742162844981523,-1.2177502579979325,FAS-WOM-1024,Slow-moving
P1025,11.162408759124087,8.411116699489298,78.13686131386861,334.87226277372264,0.7535216529867804,-3.879256965944271,FAS-FOO-1025,Medium-moving
P1026,11.383211678832117,8.595471528643268,79.68248175182482,341.4963503649635,0.7551007370465711,-6.05572755417956,FAS-MEN-1026,Medium-moving
P1027,11.677007299270073,8.69867609460484,81.73905109489051,350.31021897810217,0.7449405375595332,-2.463364293085657,FAS-WOM-1027,Fast-moving
P1028,30.33941605839416,22.649498003369555,212.37591240875912,910.1824817518249,0.7465370447399564,-4.111455108359144,FAS-FOO-1028,Fast-moving
P1029,11.306569343065693,9.101147681647271,79.14598540145985,339.1970802919708,0.8049433391773249,-4.109391124870991,FAS-MEN-1029,Medium-moving
P1030,29.217153284671532,20.573369785949122,204.52007299270073,876.5145985401459,0.7041538094247779,-3.4932920536635654,BEA-SKI-1030,Fast-moving
P1031,11.421532846715328,8.444639149782207,79.9507299270073,342.6459854014598,0.7393612804091148,-5.80701754385965,BEA-HAI-1031,Medium-moving
P1032,11.195255474452555,8.460912132925452,78.36678832116789,335.85766423357666,0.7557587365677503,-3.648090815273471,BEA-SKI-1032,Medium-moving
P1033,4.748175182481752,3.304544589726245,33.237226277372265,142.44525547445255,0.6959609666295089,-1.6676986584107285,BEA-HAI-1033,Slow-moving
P1034,11.428832116788321,9.230763331738704,80.00182481751824,342.8649635036496,0.8076733683207424,-4.0794633642930815,BEA-SKI-1034,Medium-moving
P1035,11.565693430656934,8.490518966196928,80.95985401459853,346.97080291970804,0.7341124003590908,-1.9298245614035074,BEA-HAI-1035,Fast-moving
P1036,29.098540145985403,21.860229046208126,203.68978102189783,872.9562043795621,0.7512483078716953,-8.740970072239406,BEA-SKI-1036,Fast-moving
P1037,30.494525547445257,24.40678209070406,213.4616788321168,914.8357664233577,0.8003660215250927,-4.461300309597493,BEA-HAI-1037,Fast-moving
P1038,29.14051094890511,22.35798900020607,203.98357664233578,874.2153284671533,0.7672476656091757,-14.062951496388006,BEA-SKI-1038,Fast-moving
P1039,11.043795620437956,8.48904540955373,77.30656934306569,331.3138686131387,0.7686709987500734,-4.1671826625386945,BEA-HAI-1039,Slow-moving
P1040,11.364963503649635,9.672612280818754,79.55474452554745,340.94890510948903,0.8510904832833457,-0.7512899896800819,SPO-FIT-1040,Medium-moving
P1041,11.748175182481752,8.74995410540928,82.23722627737226,352.44525547445255,0.744792614129277,-4.053663570691423,SPO-OUT-1041,Fast-moving
P1042,11.81021897810219,8.677469067752208,82.67153284671534,354.3065693430657,0.7347424365154835,-4.074303405572745,SPO-FIT-1042,Fast-moving
P1043,11.452554744525548,9.088410606663617,80.16788321167884,343.57664233576645,0.7935705883447517,-3.847265221878212,SPO-OUT-1043,Medium-moving
P1044,11.054744525547445,8.999325351946633,77.38321167883211,331.64233576642334,0.8140690480136604,-1.1331269349845094,SPO-FIT-1044,Slow-moving
P1045,30.177007299270073,23.253307849531886,211.2390510948905,905.3102189781022,0.7705637480524565,-2.517027863777076,SPO-OUT-1045,Fast-moving
P1046,4.7700729927007295,3.4911822057765844,33.3905109489051,143.10218978102188,0.7318928266126887,-0.6460268317853469,SPO-FIT-1046,Slow-moving
P1047,11.337591240875913,8.841540811026624,79.36313868613139,340.12773722627736,0.7798429686854321,-3.480908152734773,SPO-OUT-1047,Medium-moving
P1048,11.231751824817518,8.30954688916285,78.62226277372262,336.95255474452557,0.7398264330237597,-3.4231166150670833,SPO-FIT-1048,Medium-moving
P1049,11.257299270072993,8.496339764983917,78.80109489051095,337.7189781021898,0.7547405075719219,-0.27966976264189636,SPO-OUT-1049,Medium-moving
