2024,4,Apr,70998490.14,17851
2024,5,May,72751093.71,18366
2024,6,Jun,52540091.16,13165
2024,7,Jul,54607574.68,13557
2024,8,Aug,73510797.73,18546
2024,9,Sep,70550227.53,17603
2024,10,Oct,160521523.45,40022
2024,11,Nov,159861769.12,40285
2024,12,Dec,162066151.19,40966
2025,1,Jan,95800671.67,24317
2025,2,Feb,69616045.72,17268
2025,3,Mar,72056440.87,17998
2025,4,Apr,69827908.15,17786
2025,5,May,75212307.63,18791
2025,6,Jun,52619062.78,13228
2025,7,Jul,54803334.22,13926
2025,8,Aug,73232788.48,18501
2025,9,Sep,72322858.75,18260
