OrderID,OrderDate,ProductID,ProductName,Category,SubCategory,Quantity,UnitPrice,Discount,CustomerID,Region,InventoryAtStart,ReorderPoint,LeadTimeDays,SupplierID,Revenue,DiscountAmount,NetRevenue,Cost,Profit,ProfitMargin,Year,Month,MonthName,Week,DayOfWeek,Quarter
O1,2024-04-01,P1018,HOM-SMA-1018,Home & Kitchen,Small Appliances,2,6389.96,0.0,C4382,West,368,35,11,S9,12779.92,0.0,12779.92,7667.951999999999,5111.968000000001,0.4000000000000001,2024,4,Apr,14,Monday,2
O2,2024-04-01,P1035,BEA-HAI-1035,Beauty,Haircare,2,3657.2,0.0,C647,West,240,67,7,S12,7314.4,0.0,7314.4,4388.639999999999,2925.76,0.4,2024,4,Apr,14,Monday,2
O3,2024-04-01,P1042,SPO-FIT-1042,Sports,Fitness Equipment,3,1385.17,0.0,C1085,North,99,34,4,S11,4155.51,0.0,4155.51,2493.306,1662.2040000000002,0.4,2024,4,Apr,14,Monday,2
O4,2024-04-01,P1045,SPO-OUT-1045,Sports,Outdoor Gear,13,7477.91,0.15,C2611,North,52,69,11,S7,97212.83,14581.9245,82630.90550000001,58327.698000000004,24303.207500000004,0.29411764705882354,2024,4,Apr,14,Monday,2
O5,2024-04-01,P1029,FAS-MEN-1029,Fashion,Men's Apparel,1,1512.53,0.0,C269,South,114,79,12,S14,1512.53,0.0,1512.53,907.5179999999999,605.0120000000001,0.4,2024,4,Apr,14,Monday,2
O6,2024-04-01,P1031,BEA-HAI-1031,Beauty,Haircare,3,2457.84,0.0,C4665,East,485,22,14,S11,7373.52,0.0,7373.52,4424.112,2949.4080000000004,0.4,2024,4,Apr,14,Monday,2
O7,2024-04-01,P1024,FAS-WOM-1024,Fashion,Women's Apparel,1,1963.94,0.0,C5186,West,405,20,4,S13,1963.94,0.0,1963.94,1178.364,785.576,0.4,2024,4,Apr,14,Monday,2
O8,2024-04-01,P1023,FAS-MEN-1023,Fashion,Men's Apparel,1,1854.57,0.15,C4434,South,83,46,10,S5,1854.57,278.1855,1576.3845,1112.742,463.6424999999999,0.2941176470588235,2024,4,Apr,14,Monday,2
O9,2024-04-01,P1005,ELE-WEA-1005,Electronics,Wearables,7,4489.15,0.0,C40,East,483,26,4,S14,31424.049999999996,0.0,31424.049999999996,18854.43,12569.619999999995,0.3999999999999999,2024,4,Apr,14,Monday,2
O10,2024-04-01,P1028,FAS-FOO-1028,Fashion,Footwear,7,911.94,0.0,C5599,West,381,54,16,S12,6383.58,0.0,6383.58,3830.148,2553.432,0.39999999999999997,2024,4,Apr,14,Monday,2
O11,2024-04-01,P1007,ELE-MOB-1007,Electronics,Mobile Accessories,3,7735.61,0.1,C3187,North,138,79,19,S7,23206.829999999998,2320.683,20886.146999999997,13924.098,6962.048999999997,0.33333333333333326,2024,4,Apr,14,Monday,2
O12,2024-04-01,P1006,ELE-AUD-1006,Electronics,Audio,1,5175.4,0.0,C4477,North,112,68,16,S3,5175.4,0.0,5175.4,3105.24,2070.16,0.4,2024,4,Apr,14,Monday,2
O13,2024-04-01,P1002,ELE-WEA-1002,Electronics,Wearables,1,6597.83,0.0,C3592,South,99,52,5,S8,6597.83,0.0,6597.83,3958.698,2639.132,0.4,2024,4,Apr,14,Monday,2
O14,2024-04-01,P1030,BEA-SKI-1030,Beauty,Skincare,2,5379.8,0.0,C922,East,267,59,11,S8,10759.6,0.0,10759.6,6455.76,4303.84,0.4,2024,4,Apr,14,Monday,2
O15,2024-04-01,P1002,ELE-WEA-1002,Electronics,Wearables,1,6568.73,0.0,C4756,North,428,47,5,S8,6568.73,0.0,6568.73,3941.2379999999994,2627.492,0.4000000000000001,2024,4,Apr,14,Monday,2
O16,2024-04-01,P1007,ELE-MOB-1007,Electronics,Mobile Accessories,2,7421.15,0.0,C1089,South,464,49,19,S7,14842.3,0.0,14842.3,8905.38,5936.92,0.4,2024,4,Apr,14,Monday,2
O17,2024-04-01,P1048,SPO-FIT-1048,Sports,Fitness Equipment,2,2190.91,0.15,C5023,Central,424,30,8,S15,4381.82,657.2729999999999,3724.5469999999996,2629.0919999999996,1095.455,0.29411764705882354,2024,4,Apr,14,Monday,2
O18,2024-04-01,P1016,HOM-COO-1016,Home & Kitchen,Cookware,4,1291.9,0.0,C5878,West,420,45,6,S13,5167.6,0.0,5167.6,3100.56,2067.0400000000004,0.4000000000000001,2024,4,Apr,14,Monday,2
O19,2024-04-01,P1020,FAS-MEN-1020,Fashion,Men's Apparel,3,3842.35,0.0,C3626,South,131,47,13,S13,11527.05,0.0,11527.05,6916.23,4610.82,0.4,2024,4,Apr,14,Monday,2
O20,2024-04-01,P1037,BEA-HAI-1037,Beauty,Haircare,13,2647.21,0.0,C2199,North,306,60,13,S13,34413.73,0.0,34413.73,20648.238,13765.492000000002,0.4,2024,4,Apr,14,Monday,2
O21,2024-04-01,P1040,SPO-FIT-1040,Sports,Fitness Equipment,3,5049.88,0.05,C3140,North,469,77,4,S10,15149.64,757.482,14392.158,9089.784,5302.374,0.3684210526315789,2024,4,Apr,14,Monday,2
O22,2024-04-01,P1013,HOM-COO-1013,Home & Kitchen,Cookware,6,3651.71,0.0,C5754,North,82,51,17,S3,21910.260000000002,0.0,21910.260000000002,13146.155999999999,8764.104000000003,0.4000000000000001,2024,4,Apr,14,Monday,2
O23,2024-04-01,P1006,ELE-AUD-1006,Electronics,Audio,1,5262.29,0.0,C5521,South,403,30,16,S3,5262.29,0.0,5262.29,3157.374,2104.916,0.4,2024,4,Apr,14,Monday,2
O24,2024-04-01,P1002,ELE-WEA-1002,Electronics,Wearables,1,6070.27,0.0,C3598,East,369,42,5,S8,6070.27,0.0,6070.27,3642.1620000000003,2428.108,0.4,2024,4,Apr,14,Monday,2
O25,2024-04-01,P1046,SPO-FIT-1046,Sports,Fitness Equipment,2,867.48,0.1,C3807,South,149,49,11,S5,1734.96,173.496,1561.464,1040.9759999999999,520.488,0.33333333333333337,2024,4,Apr,14,Monday,2
O26,2024-04-01,P1014,HOM-STO-1014,Home & Kitchen,Storage,1,2620.09,0.15,C1887,South,81,62,17,S12,2620.09,393.0135,2227.0765,1572.054,655.0225,0.29411764705882354,2024,4,Apr,14,Monday,2
