ProductID,AvgDailyDemand,StdDailyDemand,AvgWeeklyDemand,AvgMonthlyDemand,CV,Trend,ProductName,DemandClass,InventoryAtStart,ReorderPoint,LeadTimeDays,SafetyStock,ComputedReorderPoint,InventoryCoverageDays,StockoutRisk,ExcessInventoryRisk,RiskLevel
P1000,4.872262773722627,3.4069126400657024,34.105839416058394,146.16788321167883,0.6992464894217247,-1.069143446852424,ELE-AUD-1000,Slow-moving,70,65,18,23.84960520393615,111.55033513094344,14.367041198501873,True,False,MEDIUM RISK
P1001,11.047445255474452,8.822727674924707,77.33211678832116,331.42335766423355,0.798621533838576,-4.617131062951494,ELE-MOB-1001,Slow-moving,116,35,20,65.10312213273103,286.05202724222005,10.50016518004625,True,False,MEDIUM RISK
P1002,4.835766423357664,3.3067486746442887,33.85036496350365,145.0729927007299,0.683810669322668,-1.2569659442724443,ELE-WEA-1002,Slow-moving,206,19,5,12.200289454669742,36.379121571458064,42.59924528301887,False,False,LOW RISK
P1003,11.671532846715328,9.235579788315482,81.7007299270073,350.1459854014598,0.7912910762971989,-2.7533539731682097,ELE-AUD-1003,Fast-moving,141,74,19,66.42398232075202,288.18310640834324,12.080675422138837,True,False,MEDIUM RISK
P1004,10.956204379562044,7.897301150218249,76.69343065693431,328.6861313868613,0.7208063008526983,-5.678018575851383,ELE-MOB-1004,Slow-moving,304,32,10,41.20620735487941,150.76825115049985,27.746835443037973,False,False,LOW RISK
P1005,29.73357664233577,21.79810560634098,208.13503649635035,892.007299270073,0.7331141446099704,-12.130030959752297,ELE-WEA-1005,Fast-moving,355,47,4,71.93374850092523,190.86805507026833,11.939364183134895,False,False,LOW RISK
P1006,4.885036496350365,3.582344809114493,34.19525547445255,146.55109489051094,0.7333302037335608,-0.4447884416924642,ELE-AUD-1006,Slow-moving,322,70,16,23.643475740155655,101.80405968176149,65.91557713858798,False,True,MEDIUM RISK
P1007,11.069343065693433,8.472923317802824,77.48540145985402,332.08029197080293,0.7654404843646467,-4.257997936016506,ELE-MOB-1007,Slow-moving,468,66,19,60.93881722280859,271.2563354709838,42.27893175074183,False,False,LOW RISK
P1008,4.948905109489052,3.423910265280105,34.64233576642336,148.46715328467155,0.6918520742527645,-0.7554179566563438,ELE-WEA-1008,Slow-moving,213,77,11,18.737112348537543,73.17506855291711,43.039823008849545,False,False,LOW RISK
P1009,30.866788321167885,22.302280793809697,216.0675182481752,926.0036496350366,0.7225332471183986,-4.2610939112486985,ELE-AUD-1009,Fast-moving,351,41,15,142.5209974598297,605.522822277348,11.371445462607152,True,False,MEDIUM RISK
P1010,11.965328467153284,10.088487949430585,83.75729927007299,358.95985401459853,0.8431434186804879,-5.303405572755419,HOM-COO-1010,Fast-moving,275,70,8,47.082012390343486,142.80464012756977,22.98307152661278,False,False,LOW RISK
