ELE-AUD-1000,481,37,OK
ELE-MOB-1001,82,39,OK
ELE-WEA-1002,206,52,OK
ELE-AUD-1003,141,63,OK
ELE-MOB-1004,40,20,OK
ELE-WEA-1005,37,26,OK
ELE-AUD-1006,347,30,OK
ELE-MOB-1007,468,49,OK
ELE-WEA-1008,213,57,OK
ELE-AUD-1009,351,49,OK
HOM-COO-1010,71,44,OK
HOM-STO-1011,143,21,OK
HOM-SMA-1012,94,61,OK
HOM-COO-1013,409,51,OK
HOM-STO-1014,401,72,OK
HOM-SMA-1015,186,31,OK
HOM-COO-1016,322,33,OK
FAS-MEN-1029,225,79,OK
BEA-SKI-1030,424,61,OK
BEA-HAI-1031,436,22,OK
BEA-SKI-1032,340,31,OK
BEA-HAI-1033,266,60,OK
BEA-SKI-1034,248,60,OK
BEA-HAI-1035,327,67,OK
BEA-SKI-1036,468,52,OK
BEA-HAI-1037,140,60,OK
BEA-SKI-1038,318,32,OK
BEA-HAI-1039,176,17,OK
SPO-FIT-1040,448,77,OK
SPO-OUT-1041,172,24,OK
SPO-FIT-1042,307,50,OK
SPO-OUT-1043,113,50,OK
SPO-FIT-1044,410,19,OK
SPO-OUT-1045,128,69,OK
SPO-FIT-1046,282,77,OK
SPO-OUT-1047,273,15,OK
SPO-FIT-1048,483,33,OK
SPO-OUT-1049,267,23,OK
HOM-SMA-1018,407,23,OK
HOM-COO-1019,418,59,OK
FAS-MEN-1020,178,27,OK
FAS-WOM-1021,222,18,OK
FAS-FOO-1022,52,25,OK
FAS-MEN-1023,368,27,OK
FAS-WOM-1024,382,15,OK
FAS-FOO-1025,104,66,OK
FAS-MEN-1026,354,57,OK
FAS-WOM-1027,422,18,OK
FAS-FOO-1028,30,54,Below Reorder Point
HOM-STO-1017,50,51,Below Reorder Point
